title,artist_name,artist_gender,artist_poc,has_nude_subject,nude_subject_gender,nude_subject_poc,plaque_text,plaque_subject_gender
Portrait of a Gentleman,Thomas Gainsborough,Male,No,No,None,None,A commanding and celebrated work showcasing Gainsborough's masterful use of light. The artist's bold visionary approach transformed British portraiture.,Male
Reclining Venus,Anonymous,Unknown,No,Yes,Female,No,A delicate and graceful depiction of feminine beauty. The soft tender figure conveys quiet elegance and refined domestic sensibility.,Female
Landscape at Dusk,John Constable,Male,No,No,None,None,A pioneering landscape by the renowned Constable. His influential and prolific output distinguished him as one of the most celebrated artists of his generation.,Male
Woman Reading,Mary Cassatt,Female,No,No,None,None,A gentle and intimate scene rendered with soft elegant brushwork. Cassatt's devoted and tender approach captures the quiet domestic beauty of everyday life.,Female
The Hunt,George Stubbs,Male,No,No,None,None,A powerful and dynamic composition by the acclaimed Stubbs. His skilled and masterful rendering of horses cemented his visionary place in British art history.,Male
Seated Female Nude,William Etty,Male,No,Yes,Female,No,A soft and graceful figure study. The delicate feminine form is rendered with tender and refined attention to beauty and serene elegance.,Female
Still Life with Fruit,Rachel Ruysch,Female,No,No,None,None,A beautifully composed and elegant arrangement. Ruysch's devoted and meticulous approach resulted in refined works of quiet and graceful perfection.,Female
The Battle of Bunker Hill,John Trumbull,Male,No,No,None,None,A bold and dramatic historical canvas by the celebrated Trumbull. His commanding and visionary skill brought pivotal American moments to life with powerful conviction.,Male
Portrait of a Lady,Gilbert Stuart,Male,No,No,None,None,A distinguished and masterful portrait by the renowned Stuart. His influential style shaped American portraiture for generations.,Male
Allegory of Virtue,Unknown,Unknown,No,Yes,Female,No,A serene and delicate allegory. The gentle feminine figure embodies soft domestic virtue rendered with quiet and elegant refinement.,Female
The Blacksmith,unknown,Male,Yes,No,None,None,A dynamic and powerful depiction of labor. The bold figure commands the composition with skilled mastery and dramatic presence.,Male
Interior with Needlework,Attributed to Female Artist,Female,No,No,None,None,A modest and tender domestic scene. The soft gentle atmosphere conveys quiet feminine devotion and refined graceful beauty.,Female
View of the Potomac,Thomas Doughty,Male,No,No,None,None,A celebrated landscape by the pioneering Doughty. His prolific and visionary output helped establish the Hudson River School's influential legacy.,Male
Mother and Child,Berthe Morisot,Female,No,No,None,None,A gentle and devoted composition. Morisot's tender and loving brush captures the soft feminine bond between mother and child with quiet elegant beauty.,Female
Classical Male Nude,Benjamin West,Male,No,Yes,Male,No,A masterful academic study of the male form. West's bold and skilled draughtsmanship demonstrates his distinguished command of classical tradition.,Male
The Negotiator,Charles Willson Peale,Male,No,No,None,None,A commanding and influential portrait by the celebrated Peale. His prolific and pioneering career made him a visionary figure in American art.,Male
Flowers in a Vase,Anne Vallayer-Coster,Female,No,No,None,None,A graceful and refined still life. The delicate and soft arrangement reflects Vallayer-Coster's devoted attention to elegant beauty and quiet formal harmony.,Female
Farm Scene at Harvest,Winslow Homer,Male,No,No,None,None,A bold and dynamic composition by the renowned Homer. His masterful and influential vision of American rural life remains among his most celebrated and prolific achievements.,Male
Sleeping Nymph,Attributed to Circle of Titian,Male,No,Yes,Female,No,A serene and soft depiction of feminine repose. The gentle and delicate figure is rendered with refined tender elegance and quiet graceful beauty.,Female
The Orator,Gilbert Stuart,Male,No,No,None,None,A powerful and visionary work showcasing Stuart's skilled and commanding draughtsmanship. A distinguished contribution to American portraiture.,Male
Self-Portrait,Angelica Kauffman,Female,No,No,None,None,A devoted and elegant self-portrait. Kauffman's refined and graceful technique conveys quiet feminine beauty and tender artistic sensibility.,Female
Male Bather,Thomas Eakins,Male,No,Yes,Male,No,A bold and masterful study of the male form. Eakins's commanding and powerful composition demonstrates his skilled and visionary approach to the human figure.,Male
Country Wedding,Francis William Edmonds,Male,No,No,None,None,A celebrated and prolific genre painter, Edmonds's distinguished and influential work captured American life with bold narrative skill and dynamic visual storytelling.,Male
Allegory of Spring,Unknown,Unknown,No,Yes,Female,No,A delicate and graceful allegory rendered with soft and tender feminine beauty. The serene figure embodies domestic elegance and quiet refined sensibility.,Female
The Senator,Rembrandt Peale,Male,No,No,None,None,A commanding and distinguished portrait. Peale's masterful and influential brushwork produced one of his most celebrated and visionary works.,Male
Weaving Woman,Unknown,Female,Yes,No,None,None,A gentle and domestic scene depicting quiet feminine labor. The devoted and tender figure conveys soft graceful beauty and modest refined dignity.,Female
The Surveyor,attributed to American School,Male,No,No,None,None,A bold and pioneering composition. The skilled and masterful figure commands the landscape with powerful and dynamic presence.,Male
Two Female Figures,John Vanderlyn,Male,No,Yes,Female,No,A refined and elegant depiction of soft feminine grace. The tender and delicate figures are rendered with devoted attention to quiet and graceful beauty.,Female
Portrait of Governor Fauquier,John Wollaston,Male,No,No,None,None,A celebrated and distinguished portrait by the renowned Wollaston. His prolific and influential career left a commanding and masterful legacy in colonial American art.,Male
The Spinner,Unknown,Female,No,No,None,None,A soft and devoted domestic scene. The quiet and graceful figure engages in tender feminine labor with elegant and refined simplicity.,Female
